거래일,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2017-01-26,65011.90068,62453.28178,62085.93287,62232.87937,62744.16995,63817.16887,65700.7221,68216.97703,72440.69763,74106.56742,73550.18798,71820.66641,66594.79031,67301.49429,66284.02284,64291.10551,62913.33066,61921.38497,62228.55872,61183.67373,60349.40856,59395.80967,59986.15082,61868.34902
2017-01-27,59118.31775,56447.30056,54332.23402,52888.18424,52359.74409,52219.75482,52032.15887,51863.92918,51746.67579,51299.6604,51243.90286,50835.40682,50057.1086,49674.22789,49737.83813,49689.9858,49423.29604,49618.87492,51737.47794,51787.81301,51472.62048,51742.52959,53483.91305,54911.76453
2017-01-28,52751.20289,50554.80604,49310.20956,48572.42836,48559.4656,49116.83252,49713.52758,49225.11636,46685.90402,43560.34259,43421.02643,43263.45604,43171.50275,43281.59766,43371.06183,43925.65389,45198.59285,46478.80849,47252.30534,47475.26271,47388.76284,47912.64004,50163.12707,51811.04193
2017-01-29,49566.69262,47653.7103,46685.84999,45979.31241,46012.53527,46440.44276,46528.36284,45940.36953,46066.12851,46670.3452,47866.082,48044.65064,48156.53125,49240.18559,49882.44574,50542.86944,51127.1475,51796.03868,52098.3333,51650.32763,51147.19726,51061.97753,52255.41227,53672.27196
2017-01-30,51106.23134,49685.14901,49508.04285,49600.47825,49786.10077,50192.35949,50227.56391,50276.75693,50454.99959,50867.38324,52083.0804,52141.81844,51300.20157,50969.72215,50977.6763,51230.31029,52219.84823,54410.79779,57028.57179,57129.64828,56814.70421,56435.57304,57621.9339,58408.46327
2017-01-31,55489.35379,54602.40972,54795.331,54963.56921,55579.09959,57061.382,59084.03752,62360.32699,68209.57697,71623.24934,72471.4679,71736.50422,67477.34913,68769.09148,69137.6787,68695.7911,69414.64434,69580.27999,69571.09274,67644.92459,65436.70431,63640.81681,63467.04207,64856.47277
2017-02-01,61912.84867,61110.37328,60678.29984,60512.95184,60801.23082,62244.59974,63434.83999,65225.31645,72232.76768,75063.15839,75252.20359,73863.36149,68508.00038,70563.88592,70844.69072,70465.88515,71217.71925,71478.08757,71604.89189,69773.70889,67647.80747,66027.99724,65754.43814,67064.82102
2017-02-02,63634.04024,62210.24605,61933.86626,61793.15063,62919.66637,63970.89888,65624.75242,68405.3389,73938.55781,75572.54464,75170.77393,73806.22365,68467.59259,70503.46394,70775.7638,70162.27528,70880.49898,71133.90809,71586.2488,69918.34952,67435.10602,65443.22149,65002.09903,66524.95083
2017-02-03,62655.10283,60297.56949,59880.95178,60608.52958,61645.00649,62767.55283,64762.54962,67128.25622,71931.92802,73457.82578,73004.33434,71420.31941,66459.53494,68271.84168,68801.88857,68330.82313,68927.61354,68385.39915,68580.6573,67141.02846,65347.18051,63483.29716,63519.19218,65075.92803
2017-02-04,61617.968,59233.21745,58886.25073,58906.99934,59040.24692,59864.21158,60985.78595,61559.96926,62326.68869,62913.55397,63440.9939,62730.77658,59477.50032,60467.46418,60477.58411,59887.07716,59317.69368,58795.13482,59402.74848,58708.60224,58177.98823,57631.57504,58386.63977,59930.26643
2017-02-05,56710.37593,54120.42129,52652.75315,52348.93828,52387.33517,52757.09056,53129.98131,53106.0443,53694.14423,53952.06911,54437.24835,54737.00658,54333.84259,54697.91241,54478.79201,54469.37198,54952.97427,56066.7715,57879.05487,57740.73135,57398.67953,57085.87475,58000.65794,58613.7054
2017-02-06,56060.42002,55428.12141,55313.13138,55334.74154,56505.94656,58421.47669,61541.33813,65466.3605,71261.23804,73904.6163,73657.568,72738.30996,67979.03202,69708.3079,70460.32544,69922.86017,70483.35178,70706.20854,71271.03067,69690.40832,67327.2794,65230.74753,64811.94504,66058.71243
2017-02-07,62115.17926,60471.29656,60400.53146,60540.75417,61290.97283,62243.61375,64913.00776,68088.34048,73223.29118,75561.30485,75166.75471,73325.46973,67930.38801,69979.13063,70646.05952,70253.12131,70739.38174,70318.47914,70565.70145,68961.06206,66687.14775,64562.52151,64211.67173,65669.56203
2017-02-08,61845.09058,60441.26108,60390.0165,60401.65467,60941.3216,62274.1617,64081.503,67183.37198,72272.3463,74694.6376,74701.08621,73843.19005,68759.35656,71191.61645,71852.3096,71577.52647,71937.38623,70744.78332,70032.22446,68086.12563,66077.41759,64506.15093,64303.42089,65706.90743
2017-02-09,62487.5044,61624.26588,61192.72129,60899.86657,61593.8781,62909.18362,64218.17892,67010.52147,73124.34546,75160.71283,74790.91832,73604.41898,68932.82323,71864.04316,72868.20908,72736.33598,73602.07189,73443.00182,73291.42893,71330.70902,68937.39759,66770.34385,66394.35224,67804.75965
2017-02-10,64059.41965,62391.62882,62343.45389,63153.77661,63593.73597,64056.68101,65856.39246,68781.00207,73646.76493,76165.80635,76102.58717,74988.66776,70068.7303,72581.99189,73278.71303,72712.11386,73168.47448,72461.65872,72115.3063,70254.61834,67937.16443,66133.00046,66073.5405,67624.80737
2017-02-11,64294.62145,61655.84888,60929.96595,61272.1739,61427.8631,62039.64694,63080.95465,63340.92707,63773.36118,64542.43023,65185.26896,64448.49684,61107.53856,61343.31297,61011.2143,60273.23354,59981.13132,59907.80442,61422.96358,61340.48888,60610.65931,59984.55434,61003.4967,62787.64584
2017-02-12,59952.75091,57582.67052,56047.5828,55489.55798,55482.6446,55751.0809,55886.39699,55876.27713,55622.62221,55614.90417,55868.72718,55491.59241,54903.00594,54884.47857,53502.0128,52344.06191,52823.95183,54772.04201,57822.89698,58446.67062,58242.98249,58039.70628,59198.97935,59819.9671
2017-02-13,57678.89595,56702.81315,56310.86299,56207.8866,57190.08608,59189.04284,61986.87206,65663.69886,71738.46749,74306.42962,74232.00092,72986.22442,67805.33716,70569.12066,71323.79437,71163.71377,71746.66199,70876.59715,70461.55597,68608.13038,66228.51857,64290.65902,64119.66402,65587.2418
2017-02-14,61833.90772,59910.56264,60087.53402,60197.48586,61024.2693,62011.065,64286.36529,67365.01986,71920.61556,73640.70761,72683.02135,71051.18971,66678.73389,68152.80343,68770.50917,68266.75482,68815.06388,68839.54963,69852.89134,68581.33728,66629.06624,64924.25792,64411.22254,65846.21308
2017-02-15,62115.6894,60280.36242,60491.15255,60679.68247,61445.93465,62746.77025,64959.18667,67305.70419,72227.51408,73557.27607,72812.46331,70880.48222,66935.61172,67770.41864,67822.26638,67266.32598,67777.1712,67165.26284,67544.28843,66747.43579,65125.04318,63625.21252,63541.40852,64914.45205
2017-02-16,61333.96311,60233.48084,59792.7175,59914.58787,60595.7388,62073.15274,63870.22397,65683.23522,70392.01841,71547.46198,70589.5936,68963.20878,65203.52123,66586.11995,67106.57314,66748.36908,67099.31456,66525.20822,66598.39036,65377.88188,63477.11561,61736.00155,61328.72945,62533.54381
2017-02-17,58794.41139,57429.34722,57460.37033,57620.8181,58271.07296,59444.82126,60929.48703,62770.18592,68262.37041,70329.93724,69654.65449,67880.41199,64723.38797,65454.56879,66036.61714,65813.74928,66399.4552,66185.9492,67082.55302,66220.96093,64770.1073,63264.66154,62958.88575,64324.51235
2017-02-18,60734.04949,58627.77764,58169.97826,58066.78634,57902.3426,57891.6199,58530.43736,59453.08829,61171.21275,61168.93946,61579.43851,60714.99893,58143.59349,58049.72299,57834.91535,57487.808,57564.90289,57266.49123,59207.17985,59450.98162,58852.41668,58129.10319,58930.90962,60482.74202
2017-02-19,57479.14569,54861.43459,53859.95444,53825.21535,53847.74874,53757.92167,54142.09463,53501.13249,52829.19247,53170.40545,53789.50859,53731.84022,53750.29783,53589.49462,53916.7769,54099.53008,54171.02819,54349.55308,55591.79043,55725.10704,55245.21069,54859.57819,55876.35887,56179.26828
2017-02-20,53802.35392,52778.14432,52423.13556,52372.11432,53244.87501,54893.53256,57692.14507,61578.6478,67851.03285,71505.68337,71709.27674,69962.49604,65815.85813,67404.26694,68269.96235,68177.09526,69043.16045,69078.61263,69802.63821,68545.74471,66416.9944,64386.38724,63871.42709,65121.88082
2017-02-21,61259.7707,58952.97485,58704.18102,58568.66672,59466.97207,61203.88925,64921.21267,68182.17746,71341.19405,72715.28355,72301.05052,70593.11816,65304.40442,67258.50534,67579.74067,66830.10881,67439.06206,66909.58764,67686.33726,66905.33212,64960.37091,63029.53689,62622.40156,63920.03611
2017-02-22,59848.02574,57918.60652,57656.01777,57124.5038,57459.00781,58853.7567,60857.65755,63891.99135,69127.35496,72764.72156,73664.05128,73268.61738,69227.26732,72060.17493,72597.26244,71911.58438,71841.32052,69597.73633,67977.9789,66100.50908,64196.63678,62403.68427,62256.9865,63654.97887
